2025-06-11 16:16:24 2025-06-11 13:16:24,782 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/revertAcctgTransOnRemovePaymentApplications] finished in [73] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,788 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/removePaymentApplication] finished in [85] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,813 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,821 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,822 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [16] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,831 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTrans] finished in [25] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,835 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,837 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,838 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [4] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,842 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,847 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,848 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgPrefPermissionCheck] finished in [7] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,852 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/getPartyAccountingPreferences] finished in [12] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,854 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTransEntry] finished in [21] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,856 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,860 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [3] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,861 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [6] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,866 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,868 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [1] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,869 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgPrefPermissionCheck] finished in [4] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,873 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/getPartyAccountingPreferences] finished in [8] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,878 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTransEntry] finished in [22] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,878 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/copyAcctgTransAndEntries] finished in [75] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,883 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,884 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [1] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,885 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [3] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,889 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,892 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [1] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,893 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [4] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,966 |jsse-nio-8443-exec-6 |UtilProperties                |I| ResourceBundle arithmetic (en_US) created in 0.011s with 15 properties
2025-06-11 16:16:24 2025-06-11 13:16:24,966 |jsse-nio-8443-exec-6 |Log                           |I| [GeneralLedgerServices.xml#getGlArithmeticSettingsInline line 2903] Got settings from arithmetic.properties: ledgerDecimals=4, roundingMode=HalfUp
2025-06-11 16:16:24 2025-06-11 13:16:24,978 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/calculateAcctgTransTrialBalance] finished in [89] milliseconds
